board_state,solution,moves
xwwwwwwwwbbbbbbwwwbwbwbwwwwbwbwwwwwbbwbwwwwbwwbwwxbwwbbwxbwwwwww w,b2,a1 a8
xxwwwwwbbxwwbwwwbbwbwbwbbbwwbwwxbbwbwbwwbbbwbwbwbbbbbbbbbbbbbwww b,h5,b8 b7
wwwwwwxxwbbwbwwwwbbwwbwwwbbwwwbwwbwwbbwwwwwwwwwwwwwwwwwbwbbbbbbb b,h8,g8
bwwwwwwwbbwbbwxxbwbbwwwxbwbbwbwwbbwwbwbwbwbbwbbwwwwbbbbwxxwwwwww b,a1,h6 h7 g7
bwwwwwwwbbwbbbbwbwbbwbbwbwbbbbbwbbwbbwbwbwbbwbbwwwwbbbbwxxwwwwww b,a1,b1
xwbbbbbbxwxwwwbwwwbwwbwwbwbbbwbwbwbbwbwwbwbwwwbwbwbwbbbwwwwwwwww b,c7,a8 a7
wwwwwwwxbbbbbwxwbbwwwbwwxbbwwwwwbbbbwwwwbwbbwbbwwwwwbbbwwwwwwwxx w,g7,g1 h1 a5
bwwbwwwwbwwwwwwwbwbbbwwxbwbbwbwbbwbwbwwbbwwbwbbbbxbbbbbbxbbbbxwx w,h1,f1
bbbbbbbxwbwbbbxwwwbwbbwwwbbbwwbwwbwwbwbwwbwbbbbwwwbbbbbwwbbbbxxx w,f1,g7 g1
bwbbbbbxbwwbbbbxbwbwbbbbbwwbbbbbbbbwbwbxbbbwwbbbbbbbbbbwxwwwwwwx w,h1,h8 a1 h7
bbbbbbbxbbbbbbxwbwbbbwwwbwbbbwbwbwbwbbbwbbwbbbbwbwwwwwwwxwwwwwww b,a1,g7
bbbbbbbbbwbwwwwwbbwbbbwbbwbbwwbbbwbwbbbbbwwwbbbbbwwwwbxbxxbbbbbx b,a1,b1
bbbbbbbbbwwbbwxxbwwwwwwwbbwwwbwwbbbbwwbwbbbbwwbwbbbbbbwwbwwwwwww b,h7,g7
bbbbbwwbbwwbbbwbbwbwwbwbbwwwbwwbbwwwwbwbbwwwbwwbbbwbwwwbwwwwwwxx b,h1,g1
xxxwwwwwxxwwwbwwwwwwbwbwwwwbwbbwwwbwbwbwwbwwbbbbwbbwwwwbwbbbbwwb b,b8,a7 b7 c8
xbwwwwwwbxwwwbwwwbwbbwbwwwbbbbbwwwbbbbbwwbwwbbbbwbbwwwwbwbbbbwwb w,a8,b7
