board_state,solution,moves
bbbbbbbbwbbbwwbbwbbbbbbbwbwwbwbbwbwbbbwbwbbwbwbxwbwbbwxxwwwwwwwx b,h3,g2
bbbbbbbxbbbwwwwxbbbbwwwwbbbbbbwwbwbbbbbwbwbbbbbwbbwwwbbwbbbbbbbb b,h8,h7
xbbbbbbbxwwwwwwbwwwbwwwbwwwwbwwbwwwwwbbbwwwbwwbbwwbwbwwbwbbbbwwb b,a8,a7
bbbbbbbbbbwbbbbbbwbbbbbbwwwbbbbbxwwbbbbbxxwbbbbbxwbbbbbbwbbbbbbb b,a3,a4 b3 a2
xwwwwwwbbxwbbwwbbbbbbwwbbwbbwwbbbwbwbbwbbwwwwwwbxwwbbbbbxwwwbbbb b,b7,a1 a2 a8
wwwwwwwwbbbbbwwwbbwbwwwwbbwbwwwwbbwbwbwwbbwwwbwwxbwwbwwwxwwwwwww w,a2,a1
xwbwwwwwxbbwwbwwwwbwwwwwwwbwwwwwwwbwwbwwwwbbwwbwwwbwbwwwwwwwwwww w,a7,a8
bbbbbbbxbbwwwwwxbbbbbwwwbwbbwwwwbwbbbwwwbwbbbbwwbwwwwwwwbbbbbbbb b,h8,h7
wwbbbxbwwwbbbbbwwbwwbwbwwbwwwwbwwbwwwwbwxbwbwwbwxxbwbbwwxbbbbbbw w,b2,a1 a3 f8
wwwwwwwwwwbbwwwwwbwwbwbwwbwwwwbwwbwwwwbwxbwbwwbwxxbwbbwwxbbbbbbw w,b2,a1 a3 a2
bbbbbbbbbbwwbbbbbbbwbbbbbbwbwbwbbbwwbwbbbbwbbbwbbbbwwwwbbbwxxxwb b,e1,f1 d1
wwwwwwwwwwbwbwbwwbwwwwbbwbwwwwbbwbwwwbbbwwwwbbbbwwbbbbxbwwwwwwxx w,g1,g2 h1
xxbbbbbbwxwwbwbbwwwbbbwbwwbwbwwbxbwbwbwbbwbbbbbbwxwbbbbbbbbbbbbb b,a4,b8 b2 b7
xwwwwwwbwxbbbwbbbwbbwbbbbbwbwwbbbwbbbwbbbwbbwbbbbbwbbbbwbbbbbbbb b,b7,a8
wbxwwwwwbwxwwbbwbbwwbwbwbbbwbbwwbwbbwbbwbbbbbwwwbbwbbwwwbwwwwwwx b,c8,c7 h1
bwbbbbbbbbbbbbbbwbbwbbwbwwbbwbwbwbbwbwbbwwwwwbbbxwwbbbbbxwwwwwwx b,a1,a2
wbbbbbbbbwbwwwbbbbwbwbwbbwbwwbwbbbwbbbwbbbwwbbwwbbwbbbwxbbbbbbbx b,h1,h2
xxwxwwxbbwwwxwbbbbbbwbwbbbbbbbbbbbbbwbbbbbbbbbbbbbbbbbbbbbbbbbbb b,g8,b8 d8 e7
wxwxwwbbbwwwxbbbbbbbbbwbbbbbbbbbbbbbwbbbbbbbbbbbbbbbbbbbbbbbbbbb b,e7,b8 d8
bbbbbbbbbbbbbbbxbbwwbbwwbbbwbwwwbbwbwbwwbbbwwwwwbbwwwwwxbxxwwwwx b,h1,h2 c1
bbbbbbbbbbbbbbbbbbbwbbbbbbbbbbwbbbwbbbwbbbbwwbwbbbwwwwwbbxxwwwwb b,b1,c1
xwbbbbbbxxbbbbbbwwwwwwbbbwbbbbbbbbwwbbwbbwbwwbwbbbbbbbbbbbbbbbbb b,a8,a7 b7
xwwwwwwwbxwwwwwwxbbwbwwwwwbwwbwwwbbwwwbwwbbwbwbwbbbbbbwwwwwwwwww w,a6,b7
xbbbbxwbwwwwwwbbwwwbwbbbwwbwbbwbbbwbbwwbbbbbbwbbwwbwwbbbbbbbbbbb b,a8,f8
xxbbwwwbwwwwwwwbbbwwwbwbbbwwbbbbbbwbbbbbwbbwbbbbwxbbbbbbxbbbbbbb b,b8,a1 a8
xxbbwwwbwwwwwwwbbwwwwwwbbwwwwbbbbwwwbbbbbwwwbbbbbwbbbbbbbbbbbbbb b,b8,a8
bbxbbbbwwwbwwwwwwwbbbwbwwwwbwbbwwwbwbwbwwwwwwbwwwwbbbwxwwwwwwwwx w,c8,g2
xwwwbbbbbxwwwwbbbbbwbwbbbwbbbbbbbwbbwwbbbwwwbwbbbwwwwxbbxwwwwwbb b,b7,a1 f2 a8
xwwwbbbbbwwwwwbbbwwwbwbbbwbwbbbbbwbbwwbbbwbwbwbbbbwwwxbbbbbbbbbb b,f2,a8
xbbbbbbbxxxwwwbbwwwwbwbbwwwbbbwwwwwbbbwwbbbbbbwxbbbbwwwwbbbbbbbb b,h3,a7 b7 c7
xbbbbbbbxxbbbbbbwwbbbwbbwwbbbbwbwwbbbbbbbbbbbbbbbbbbwwbbbbbbbbbb b,b7,a7
bwwwwwwxbbwbwwwbbwbwbwwbbbwbwbwbbwbwbbbbbbwbwbwbbwbbbbbbwxwwwbbb b,b1,h8
bbbbbbbbbbbbbbbbbbbwbbbbbbbbbwwwbbbbbbwwbbbwwbwxbbxwbwwwxxxwbbbb b,h3,c1 c2
xxwbbbbbxxwwwwbbxwwwwbwbwwwbwwbbbbbbwwwbwwbwbbwbwbbbwwbbbbbbbbbb b,a7,b8 a6 b7
wbbbbbbbwbbbbbbbwbwwwwbbwbwwwwbbwwwwbbbbwwwwbbbbwxwwwwbbxwwwwwbb b,a1,b2
wxxxwwwbbwwwwwwbbbwwwbwbbbbbbbwbbwbbwwwbbbwbbbwbbwbbbbbbwbbbbbbb b,c8,b8 d8
xwbxbbbbbbwxbbbbbbbwbbbbbbbbbbbbbbbwbbbbbbbbwbwbbbwbbwbbbbbbbbbb b,d8,d7 a8
bbbxbbbbbbwxbbbbbbbwbbbbbbbbbbbbbbbwbbbbbbbbwbwbbbwbbwbbbbbbbbbb b,d8,d7
bbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbwbbbbbbbbbbbwbbbwwwxx b,h1,g1
bbbbbbbwbbbbwwwwbbbbwwwwbbbbwbwwbbbbwwwwbbbbwwwwbbwwwxxwbbbbwwwx b,h1,f2 g2
wbbbbxxxwwbbbbbbwbwbwbbbwbbwbwwbwbwwwbwbwbwwwwbbwwbbwbwbwwwwwwww w,g8,h8 f8
bbbbbbbwbbbbbbbwbbbbbbbwbbbbbbbwbbbbbbbwbbbwbwwwbbbbwwxxbwwwwxxx b,g1,g2 h2 f1
bbbwxwwbbbwbwwbbwbwwwwbbwbwwbwbbwwbbbbbbwbbbbbbbwbbbbbbbxbbbbbbb b,e8,a1
bbwxxwxxbbbwwwwbbbbbwwwbbbwbwbwbbbbwbbwbbbwbwbwbbbbbbbbbwbbbbbbb b,h8,d8 e8 g8
bbbbwwxxbbbbwwwbbbbbwbwbbbwbwbbbbbbwbbwbbbwbwbwbbbbbbbbbwbbbbbbb b,h8,g8
bbbbbbbbbbbbbbbbbbwbwbbwbwbwbbwwbbwbwbwwbwbwbwwxbbbbwwwbbbbbbbbx b,h1,h3
bbbbbbbxbwwwwwwxbwbbbwwbbbwbwbwwbwwwbbwwbwwbwbwwbwwwwwwwbbbbbbbb b,h7,h8
bxxxxwbbbbwwwbbwbwwwbbbbbwwbbwbbbbwbwbbbbbbwbbbbbbbbwbbbbbbbbbbb b,b8,c8 d8 e8
bxxxxwbwwbwwwbbbxwbbbbbbwbbbbbbbwbbbbbbbwbbbbbbbwbbbbbbbwbbbbbbb b,b8,e8 d8 a6
bbbbbbbbbbbwbbbbbbbwbbbbbbwbbbbbbbbwbbbwbbbwbbwwbbbbwxxwbbbbbwxx b,g1,g2 h1 f2
bwwwwwwwwwwwwwwwbwbwbwwwbbwbwbwwbbwwbbwwbbbbwbwwxxbwbwwwxbbbbbww w,a1,b2 a2
xxbwwwbwbxbwwwwwbbbwbwwwbbbwwwbwbbbwwwwwbbwwbwwwbwbbbwwwwwwwwwww w,b8,b7 a8
xwbbbbbbxxwbbbbbwwwwwwbbwwwwbbwbwbwwbbwbwwbwbbwbwwbbbwbbbbbbbbbb b,a8,a7 b7
bbbwwwwxbbbbwwwxbwbbbwwwbwbbwbwbbwbbbwwbbwbbbbwwbbwwwwbwbbbbbbbb b,h8,h7
xwwwwwwwxxbbbbwbbbbbwwwbbbbbwwwbbbbwwbwbbbwwwbwbbwwwwwwbwwwwwwwb w,b7,a7
wbwwwwwxwbbwbwxxwbbbwwwwwwbbbbwxwwbbbbwxwwbbwwwwwbwwbbbbbbbbbbbb b,h8,h5 h4 h7
wbwwwwwxwbbwbwxxwbbbwbwwwwwwwwwwwwbbbbwbwwbbwwbbwbwwbbbbbbbbbbbb b,h8,g7 h7
wwwwwbxxbbbbbbbbwwwbwwbbwwbwwbwbwwwwwbwbwwwwwwwbwwwwwwwbwwwwwwww w,g8,h8
bbbbbbbbbbbbbbbwbwwwwwwwbwbwwwbwbwbwwwbwbwwwwwwwbwwwwwxxxwwwwwwx b,a1,g2 h2
bbbbbbbbbbbbbbbwbwwwwbwwbwbwbwbwbwbbwwbwbwbwwwwwbbwwwwxxbwwwwwwx b,h1,h2 g2
xwwwwwwwwwwwwwwbwwwwwwbbwbwwwwbbwbwwwbbbwwwbwwbbwxwwbbbbxxwwwwww b,a8,b2 b1
bwwwwwwwwbwwwwwbwwbwwwbbwbwbwwbbwbwwbbbbwwwbwbbbwxwwbbbbxxwwwwww b,a1,b2 b1
bwwwwwwwbbwwwwwbbwbwwwbbbbwbwwbbbbwwbbbbbwwbwbbbbxwwbbbbbxwwwwww b,b1,b2
bbbbbbbbbbbbbbbbwbbbbbwbwbbbbbbbwbbbbbbbwwbbbbbbxwbbwwwbxxbbwwwx b,b1,a1 h1 a2
bbbbbbbbbbbbbbbbbbbbbbbbwbbbbbbbxwbbbbbbbwbbbbbbbwbbbbbbxwbbbbbb b,a1,a4
wwwwwwwxwwwwwwxxwwwwwwwbwbwwbxbwwwwwwbwwwwbwwwwwwbwwwwwwbwwwwwww w,f5,h7
bbbbbbbbbbbbbbbbbbbbbbbbbbwbbbbbbwwwbwbbxwbbbbbbxwbbwbbbwbbbbbbb b,a3,a2
wwwwwwwwwwwbbbbwwbwwwbbwwbwwwwwwwbwwwbbwwbbbbwbwwxbbbbwwxbbbbbbw w,b2,a1
bbbbbbbwbbbbbbbbbbbwbbbbbwbbwbbwbbbbwwwwbwbbbbbxbwwwwbwxbwwwbbxx b,h1,h2 g1 h3
bbbbbbbwbbbbbbbwbbbwbbbwbwbbwbbwbbbbwwbwbwbbbbwwbwwwwwwwbwwwbbxx b,h1,g1
bbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbwbbbbbbbxwbwbbbbxbwwwbb b,b1,b2
xbbwxwbbwwwwwbbbwwwbbwbbwwbwbbbbwwbbwwbbwwwbbwbbxxbbbbbbxbbbbbbb b,a8,b2 e8 a2
bbbwxwbbwbwwwbbbwwbbbwbbwwbbbbbbwwbbbwbbwwwbbbbbxxbbbbbbxbbbbbbb b,e8,b2 a2
bbbbbbbbbbwwwwbbbwbbwbbbbwbbbwbbbwbbbwbbbwbwwbbbbwwwwwbbbwxxxwbw b,d1,e1 c1
xxwwwwwbwxwbbbbbwwwbbbbbwbbwbbwbwbbbwbwbwwbbwwbbwbbbwbbbbbbbbbbw b,a8,b8 b7
xbbbbbbbwxbbbbbbwwwbbbbbwbbwbbwbwbbbwbwbwwbbwwbbwbbbwbbbbbbbbbbw b,a8,b7
wwwwwwwxwwbbbwxwwbwbwbwwwbbwwwbwwbwwwwbwwbwbwbbwwbbwbbbwwwwwwwwx w,g7,h1
bbbbbwwxwwwwwwwbwbwwwbbbwbwbbbbbwbbbbbbbwbbbbbbbxbbbbbbbxxbbbbbb b,a2,h8
bbwwwxwxbbbbbwbbbbbbwbbbbwbwbbbbbbwbbbbbbwbbbbbbbxbbbbbbbxbbbbbb b,f8,b2
bbbbbbwxbbbbbbbbbbbbwbbbbwbwbbbbbbwbbbbbbwbbbbbbbxbbbbbbbxbbbbbb b,h8,b2
wwwwbbxxwwwbbbbbwwwwwwwbwwbwwwwwwwbwwbwwwwwwbbbwwwwbbbbwwwwwwwww w,g8,h8
bbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbwbbwxxbbbbbwwwx b,h1,f2
bwxwwwwxbwwwwwxwbwbwwwwwbwbbbwbwbwbbbwbwbbbbwbbwbbbbbbbwbwbbbbbw b,c8,g7
bbbwwwwxbbbbwwxwbwbwbwwwbwbbbbbwbwbbbwbwbbbbwbbwbbbbbbbwbwbbbbbw b,h8,g7
xxbwwwwwwbbbwwwwwbbbbwbwwbwwbwwwwbbwbwbwwbwwbwbwwwbbbbbwwwwwwwww w,b8,a8
xwwwwwwwxxwwwwwbxwwwwwwbwwwwwwwbwwbbwbbbwwbbwbwbwwwwwwbbbbbbbbbb b,a7,b7 a6
xwwwwwwwxwbbbbbbwwwwwwwbwwwbwwwbwbwbbbbbwbbwwbwbwbwwwwbbbbbbbbbb b,a8,a7
wbbbbbbbwbbwwwwbwwwwwwwbxxwbbwwbbbwwwwbbbwbwwbwbwxbbbwbbxwbbwwwb b,a1,b5 b2 a5
xwwwbbbbbxwwwbbbbbwwbbbbbbbbbbbbbbbbbwbbbbbbbwbbbbbbbbbbbbbbbbbb b,a8,b7
wbwwwwwwbbbwbbwwwbwbwbbwwbbbbwwwwbbbbbwwwwbbwwbwxbbwwbbwxbbwwwww w,a2,a1
xxwbbbbbbwwbbwwbbwwbwwwbbwbwwwwbbwbbbbbbbbbwbwwbbxwbwwwbxwwwwwbb b,a1,a8 b8 b2
xxwbbbbbbwwbbwwbbwwbwwwbbwbwwwwbbwbwbbbbbwwwbwwbbwwbwwwbbbbbbbbb b,a8,b8
bbbbbbbwxwbbwbwbxwbwbwbbwwbbwbwbwwwwwwbbbbbbbwwbbbbbbbbbbbbbbbbb b,a7,a6
wwwwwwwwwbbwbbbbwbwbwwbxwbwwwbbbwbbwwwwwwbbbwbwbxbbbbwbxxwwwwwwx w,h2,h1 h6 a1
bbbbbbbbbbwwwwbbbbbwwbbwbbwbbbwwbwbbbwbwbwbbbbwwbbwbwwxwbwwwwwxx b,h1,g1 g2
wbbbbbbbbwbwbbbwbbwbbbbwbwbbbwbwbwbwwbbwbbbwbwbwbxbbwwwwxbbbbbbw w,a1,b2
bbbbbbbbbbwwbwbbbbbbwbbbbbbbbwwbbbbbbwwbbwbwwbbbwwwwbbwbbxwxbbbb b,d1,b1
wwwwwwwwbbbbwwwbwbwbwwwbwbwwbbwbwwwwwbwbwbbwwwbbxbbwwbbbxbbbbbbx w,a2,a1 h1
bbbbbbbbbbbbbbbbbbwbbbbbbbbwbbbbbbbbwbbbbbbbwwbbbbbwwwwbbbwwwwxx b,h1,g1
bbbbbbbbbbwwwwwwbbbwbbwxbbbbbwbwbbbbwbbwbwbwbbwwbbwbbwxwbbbbbwwx b,g2,h1 h6
bbbbbbbxbbwwwbwxbbwbbwbwbbbbwbwwbbbbbbbwbbbbbbbbbbbbbbbbbbbbbbwb b,h8,h7
bbbbbbbxwwwwwwwxwwbwbwbbwwbbwbbbwwwwbbbbxwwbbbbbxwbwbbbbxbbbbbbb b,a2,a3
bbbbbbbxbwwwwwwxbwbwbwbbbwbbwbbbbbwwbbbbbbwbbbbbxwbwbbbbwbbbbbbb b,a2,h7
bxwwwwwwbbwwbbbbbwbbwbbbbwbbwbbbbwbwbwbbbbwwwbbbbxwbbbbbxwwwwwww w,b8,b2
wwwwwwwwbwwwwwwwbbwbbwbwbwbwwwwwbwbbbbbwbbbbbwwwbbbbbbbwxxbwwwww w,b1,a1
wwwwwwwwwwwwwwwwwwwwwwwwbwbwwwwwbwwwwwwwbwwwbwwwbbbbbbxwxxbbbbbx w,b1,a1
wwwwbxxxwbbwbbbbwwwwwwbbwbbwwwbbwwbwwbbbwbwbwbwwbbbbbbwwwwwwwwww w,g8,h8 f8
bbbbbbbbbbwwwwbbbbbbbbwbbbwbbwwbbbbbwbwbbbbwbwwbbbbbwwwbbbbbbwxx b,h1,g1
xwwwwwwwxwwbbbwwwwbwwwwwwwwwwwwwwwwwwwwwwwwwbwwwwwwwwwwwwwwwwwww b,a8,a7
wbwxwwxxwwwwwwwxwbwbwwwwwwbwwwwwwbbwwbwwwbwbbwbwwwbbbbbwwbbbbbbw b,d8,h7 g8
wbbbwwxxwwbbbbbbwbwbwwbwwwbwwbwwwbbwbbwwwbwbbwbwwwbbbbbwwbbbbbbw w,g8,h8
wwwbbxxxwwwbbbbwwbwwbbbwwbwwwwbwwbwwwwbwwbbwwbwwwbwbbwbwwwwwwwww w,g8,h8 f8
bbbbbbbbxbwwwwbbwwbbbbbbwwwbbbbbwwwbbbbbwwwbwbbbwxwwbwbbxxwbbbbb b,a7,b1 b2
bbbbbbbbbbwwwwbbwbbbbbbbwwbbbbbbwwwbbbbbwwwbwbbbwxwwbwbbxxwbbbbb b,a1,b1 b2
bbbbbbbbbbwwwwbbwbbbbbbbwbbbbbbbwbwbbbbbwbbbwbbbwbbbbwbbxxwbbbbb b,a1,b1
wwwwwwwwwwwwwwwwwwwwwbwwwwbwwbwwwbwbwwwwbbbwbwwwxbbbbwwwxwwwwwxx w,a2,a1
wwwwwwwwwwwwwwwwwwwwwbwwwwbwwbwwwbwwwwwwbbwwbwwwxwbbbwwwwwwwwwxx b,a2,g1
bwxxwxwbbwwwwwwbbwbbbbwbbbwwbwwbbbbbbbwbbbbbwbwbbbbwwwbbwbbbbbbb b,f8,c8 d8
bbbbbbbbwbbbbwbbwbbwwbwbbbbbwwbbwwbwbbbbwwbwbbwbxwwbwwwbxwbbbbbb b,a1,a2
bwwwwwwwbwwwwwwwbwwwwwbwwwwwwwbwbbbbwwbwbbbbbwwwbxbbbbwwxxbbbbbw w,a1,b2 b1
xxbwwwwwbbbwwwwwbbbbbbwwbwwbbwwwwwbwbbwwwwwbbbwbwwwwwwwbwbwwwwwb w,a8,b8
xxwwwwbbbxwwwwbbbwwbbwbbbwbbwwbbbwbbbbbbbwwbwbwbbwwwbwwbxbbbbbbb b,a1,b8 b7
xxwwwwbbbxwwwwbbbwwbbwbbbwbbwwbbbwbbbbbbbwbbwbwbbbwwbwwbbbbbbbbb b,b8,b7
wwwwwwxxwwbbwwxwwbwwbwwwwbwwwwbwwbwbwwbwwbbbwwbwwbbbbbwwwwwwwwxw b,g1,g7 g8
wwwwwwbxwwbbwbxwwbwwbwwwwbwwwwbwwbwbwwbwwbbbwwbwwbbbbbbwwwwwwwbw w,g7,h8
xxxwwbbbwwwwxwbbbwbbbbwbbbwwbbwbbwbwwbwbbwbwbwbbbbbwwbwbbbbbbbbx b,e7,b8 h1 a8
bbbbbbbbwwwwwwwbxwbbbwwbxwwbwwwbbwbbbbwbbbbwwbwbbbwbbwbbbbbbbbbb b,a5,a6
bwwwwwxxbbwwwwwwbwbbbbwbbwbbbwbbbwwbbbwbbwbbbbwbbbwwwbwbbbbbbbbb b,h8,g8
bbbbbbbbbbbbbwbbbbbbbbbbbbbbbbbbbbbbbbbbbbwwbbbbbwxwwbbbwbxwxwww b,c1,e1 c2
bbwwwwwxbbbwwwxxbbbbwwxxbbbbbbbwbbbbbbbwbbbbbbbwbbbbbbbwbbbbbbbb b,h8,g7 g6 h6
bbwwwwwxbbbwwwxxbbbbbbbxbbbbbbbwbbbbbbbwbbbbbbbwbbbbbbbwbbbbbbbb b,h8,g7 h6
bbwwwwwxbbbbbbwxbbbbbbbwbbbbbbbwbbbbbbbwbbbbbbbwbbbbbbbwbbbbbbbb b,h8,h7
xbwwwwwwwbwwwwwwxbwwwwwwbbwwwwwwbbwwwwwwbbwwwwwwbxwwwwwwxwwwwwww w,a6,a8
xwbbbbbbxxwbwwbbxwbwbwwbwbbbwbwbwbbwwbbbwbwbbbbbwbbbbbbbwwwbbbbb b,a8,a7 b7 a6
xwbbbbbbbwwbwwbbxwwwbwwbwwbwwbwbwwbwwbbbwwwbbbbbwwbbbbbbwwwbbbbb b,a8,a6
xbbbbbbbxwwwwwbxbwwwwwwbbwbwbwwwbwbbbbwwbwbbbwbwbbwwwbwwbbbbbbbx b,h7,a7 h1 a8
wwwwwwwwwwbbbwwwwwbwwwwwwbwwwbwwwbwwwwwwwbbwwwwwwbbbwwwwxxxbbbbw w,b1,a1 c1
bbbbbbbbbbwwwwbbbwbbwwbbbwbbwbwbbwwbbbwbbwwbbbwbbxwwbbbbbxxwwbbb b,b1,b2 c1
xwwwwwwwbxwwwbwwbbbwbwbwbbbbwwbwbwbwbwbwbbwwwbwwbxwwwwbwxwwwwwwb b,b7,a1 b2
wwwwwwwwwwwbbwwwwwwwwwbwwwwwwwbwwwwbbwbwwbwwbbbwwbbbwbxwwbbbbbbx w,g2,h1
wwwwwbxxwwbwwbbbwbwwwwbwwwwbwbbwwbwwbwbwwbwbwbbwwwbwwbbwwwwwwwww w,g8,h8
wbbbbwxbwbbbwwwwwbwbwbwbbbbbbbbbbwbwwwwbbwwbwwwbbwwwwwwbwxwxwwxx b,h1,b1 d1 g8
bbbbbbbbbbbbbbbbbbbbbbbbwbbwbbbbwbbbbbbbwbbbbbbbwwbbbbbbxxwwwwwb b,a1,b1
wbbwwxbxwwbwwwxbwbwbwwwbwbwbbbwbwbwwbbwbwbwbwwwbwwbwwwwbwbwwwwxx b,h1,g1 f8 g7
bxwbbbbwbxwwbbbwbwwbwbbwbwwbbwbwbwbbbbbwbwbwwwwwbbwbbwxwbwwwwwxx b,b8,b7 g1 g2
bxwbbbbwbxwwbbbwbwwbwbbwbwwwbwbwbwbbwbbwbwbwwwbwbbwbbbwwbwwwwwxw b,g1,b8 b7
bxwbbbbwbxwwbbbwbwwbwbbwbwwwbwbwbwbbwbbwbwbwwwbwbbwbbbbwbbbbbbbw b,b8,b7
xbbbbbbxbwbwwwxxbbwbbwwwbwbbbwwwbwbbbbwwbbbbbbbwbbbbbbbbbbbbbbbb b,a8,g7 h7
bbbbbbbxbbbwwwxxbbbbbwwwbwbbbwwwbwbbbbwwbbbbbbbwbbbbbbbbbbbbbbbb b,h7,g7
wwwwwwwxwwbbbbbxwbwwwbbbwwbwwbbbwwbbwbbbwwwbbwbbwwwwbbwbwbwwwwww w,h7,h8
bbbbbbbbbwbbbbbbbwwbbbbbbwbwbbbbbbbwwbbbbbbwbwbbbbbbbbwwbwwwwwxx b,g1,h1
bwwbbbbwbwwwwwwwbwbbwwwwbwbbwwwwbbbwbwwwbbwbwbwwxbbbbwxwwbwwwwwx w,a2,g2
wwwwwwwwwwwwbbwbwwwbwwbbwwwbwwbbwwwwbbbbwbwwbbxbwwwwwxxbwwwwwwxx w,g2,g3 h1 f2
xbbbbbbbxwwwbbbbbxwwwbbbxwwwbwbbwwbbbbwbwwbbbbwbxbwwbwbbbbbbbbbb b,a2,b6 a8 a5
xxwbbbbwbbwwwwwwbbbwbwwwbwbbwwbwbwwwbwbwbwwwbbbwbwwbwbbxxbbbbbbx w,h2,b8
wwwwwwwwwwwwwwwwwwwwwwbwwwwwwwbwwwwwwwbxwwwbwwbxbbbwbbxxwbbbbbbx w,h2,h1 h3 g2
wwwwwwwwwwwwwwwwwwwwwwbwwwwwwwwwwwwwwwwwwwwbbbbbbbbwbbxwwbbbbbbx w,g2,h1
bbbbbbbbbbwwwbbbbbbwbbbbwwwbbbwbwwwwbbbbwxwwbbwbxwwwwwbbxxbbwwbb b,b1,a1 b3 a2
bbbbbbbbbbwwwbbbbbbwbbbbwbwbbbwbwbbwbbbbwbbbbbwbxwbwwwbbxwwwwwbb b,a1,a2
wwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwbbwwwwwbxx w,g1,h1
bbbbbbbxbbwwbwwxbbwbbwwwbbbbbbwwbbbbwwbwbbbwwwwwbbwwwwxwbwwwwwxx b,h8,g2 g1 h7
bbbbbbbxbbwwbwwxbbwbbwwwbbbbbbwwbbbbbwbwbbbwbbwwbbwwwwbwbbbbbbbb b,h8,h7
bbbbbbbxbbbbbbxbbbbwbwbbbbbbwbbbbbbbbbbbwbbbbbbbxwwwwbbbxwwwwwbb b,a1,g7 a2
bbbbbbbwbbbbbbwbbbbwbwbbbbbbwbbbbbbwbbbbwbwbbbbbxwwwwbbbxwwwwwbb b,a1,a2
wbbbbbbbwwbwbwwwwbwbwwwwwwbwwwwwwwwwwwbwbbbbwbwwxxbbbwwwxbbbwwww w,a1,b2 a2
wbbbbbbbbwbbbbbbbbwbwbbbbwbbbbwbbwbbbbwbbwbbbbbbbwwwwwwbbwwxxwxx b,h1,e1 g1 d1
wbbbbbbbbwbbbbbbbbwbwbbbbwbbbbwbbwbbbbwbbwbbbwbbbwwbwbwbbwwwwwxx b,h1,g1
wbbbbwxbwbbbbwwwwbwbwbwbwbwwbwwbwwbbwbwbxwbbbwwbwwbbwwwbbbbbbbbx b,h1,a3 g8
xwwwwwxxwxwwwwbbxwbbbbbbwwwwwbbbwwbwbwbbwbwbwwbbbbbbbbbbwwwwwwbb w,h8,b7
wbbbbbbbwbbbbbbbwbbbwbbbxwwwwwbbwwwbwbwbxxwbbwwwxxwbbbwwbbbbbbbw b,a5,b2 a3 b3
wbbbbbbbwbbbbbbbwbbbwbbbbbbbbbbbwbwbwbwbxwwwwwwwxxwbbbwwbbbbbbbw b,a2,b2 a3
bwwwwwwwbwwwwwbwbwwwwwwwbwbbwwbwbwwwwwbwbbbbbwwwxxbbbbwwxxxbbbbw w,c1,b2 b1 a2
xwwwwwwwxbbbbwwwxbbwwwbwbbbbwbbwbbbwbwbwbbwbbbwwbwbwwwwwwwwwwwww w,a7,a6 a8
xxwwwwbbxxwbbbbbxwbbbbbbwwwbbwbbbwbwbbbbbwbbwbbbbbbbbbbbbbbbbbbb b,a7,b8 a6 b7
xxwwwwbbbwwbbbbbxwbbbbbbwwbbbwbbbwbbbbbbbwbbbbbbbbbbbbbbbbbbbbbb b,a8,b8 a6
xxwwwwwwwwwwbwbwwwwbbbbwwbwwbwbwbbbbbwbwbbwbbbbwwbbwwbbwbbbbbbbb b,a8,b8
wbbbbbbxwbbwwbbxbbwwbbwwbbwwbbwwbbbbwbwwbbbwwwwwbbwwwwwbxwwwwwww w,h7,h8 a1
wwwwwwwwwwwbwwwbwwbwbwwbwwwwwbwbwwbwbwwbwwbbwwwbwwwwbwwbbxxwwwwb b,b1,c1
bbbwwwxxbbbbbbbwbbbbwbwwbbbbbwbwbbbbwbbwbbbbwbbwbbbbbwbwbbbbbbbb b,g8,h8
bwbbbbxxbwwwbwwbbwwwwwwbbwbbwbwbbbwwbwbbbbwwwbwbbbbbwwwbwwwwwwwb b,h8,g8
bxxwwwwbbxwwwwwbbwwwbbwbbwwbbwwwbwbbwbwxbbbwbwwxbbwbwbwwbbbbbbbw b,b8,b7 h3 c8
bxwwwwwbbbwwbbbbbbwwwbwbbbwbbwwwbbbbwbwxbbbwbwwxbbwbwbwwbbbbbbbw b,b8,h4 h3
bbbbbbbbbwwbbbbbbwwwbbbbbwbwbwwbbwbbwwwwbwbwbwwxbbwbbwxxbwwwwwxx b,h2,g1 g2 h3
wbbxwwbwbwbwwbbbbbwbbbbwbbbbbbwwbbbbbwwwbbbbbbwxbbwwwwwwbwxbbbbb b,d8,c1 h3
xbbbbxwxwwwwbbbwwwwbbbbwwbwwwwbwwbwbwwbwwbwwbwwwwwwwwwwwwwwwwwww w,f8,h8
bwwxxwbbbwxwwwbbbwbwbbwbbbwbbbwbbbbwbwwbbbbbwwwbbbbwwwwbwbbwwwxx b,h1,c7 e8 d8
bwwwbbbbbwxwwbbbbwbwbwbbbbwbbbwbbbbwbwwbbbbbwwwbbbbwwwwbwbbwwwxx b,c7,h1 g1
bwwwbbbbbbbbbbbbbbbbbwbbbbwbbbwbbbbwbwwbbbbbwwwbbbbwwwwbwbbwwwxx b,h1,g1
xwwwwwwxbwwwwwxxbbbbbwwwbbbbbbwwbbbbbbbwbbwbwbbwbbbbbbbbbbbbbbbb b,a8,h7 g7
